name	company	numberOfEmployees
Ada Chen Rekhi	Notejoy	2
Shawn Elledge	Integrated Marketing Association	3
David Spark	 Spark Media Solutions	3
Melinda Byerley	Timeshare CMO	4
Samuel Devyver	Upcall	4
Kumar Thangudu	LInkTexting	4
Kimberly Barnes	ContentPark	5
Roy Morejon	Enventys Partners	5
Derric Haynie	Vulpine Interactive	5
Conrad Wadowski	Ops.tv	9
Conor Lee	HipLead	10
Dan McGaw	Effin Amazing	11
Sean Ellis	GrowthHackers.com	16
Shelly Kramer	V3 Broadsuite	17
Jay Adams	Makesbridge 	18
Lloyed Lobo	Boast Capital	19
Larry Kim	Mobile Monkey	20
Michelle Killebrew	Nomiku	20
Heidi Yu	Boostinsider	24
Valentin Radu	Omniconvert	35
Dennis Yu	Blitzmetrics	43
Brandon Redlinger	Engagio	56
Anne Fleshman	Autopilot HQ	58
Ryan Kulp	Fomo	69
Joe Sanchis	Queue	71
Sujan Patel	Web Profits	86
Jesse Pujji	Ampush	103
Casey Winters	Greylock Partners	112
Dmitry Dragilev	JustReachOut.io	118
Michelle Kim	Amplitude Analytics	124
Reid Tatoris	Distil Networks	146
Max Lytvyn	Grammarly	162
Oli Gardner	Unbounce	176
Barron Ernst	ShowMax	200
Ed Baker	Change.org	234
Mada Seghete	Branch	235
Hana Abaza	Shopify Plus	293
Hiten Shah	Quick Sprout	297
Prabhjot Singh	Pyze Inc.	331
Jim Szafranski	Prezi	406
Maryna Hradovich	SEMrush	414
Marissa Chacko	Foursquare	449
Brittany Bingham	SurveyMonkey	812
Brian Rothenberg	Eventbrite	823
Rachel Hepworth	Slack	"1,012"
Shawn Hansen	Heap	"1,132"
Matt Roe	Heap	"1,132"
Cat Lee	Pinterest	"1,932"
Jeff Titterton	Zendesk	"2,145"
Brianne Kimmel	Zendesk	"2,145"
Siqi Chen	Postmates	"2,363"
Martijn Scheijbeler	Postmates	"2,363"
Heather Dopson	GoDaddy	"5,358"
Nathan Latka	TheTopInbox.com	"14,491"
Brian Goffman	McKinsey & Company	"25,670"
Andrew Chen	Uber	"41,080"
Menaka Shroff	Google	"123,768"
Krista Seiden	Google	"123,768"
Clayton Wood	IdentityLabs	employee
Brant Cooper	Moves the Needle	null
